NAZWA,LAT,LNG,X,Y,PROPONOWANA LOKALIZACJA,RODZAJ PROJEKTU (DUŻE/MAŁE),INFORMACJA O DOPUSZCZENIU,SUMA GŁOSÓW WAŻNYCH
Osiedle Czarnów- remont chodnika i przystosowanie go do przejazdu samochodów pogotowia ratunkowego oraz innych pojazdów uprzywilejowanych,50.8753416072,20.6037479639,7472111.750,5637858.511,Połączenie ul. Piekoszowskiej wzdłuż bloku 47 do ul. Grunwaldzkiej. Działka nr 107/19 obręb 0009,,ZADANIE ODRZUCONE,
Event Budzenie Sienkiewki w dn. 01-04.06.2017,50.8712760449,20.6275928020,7473787.667,5637397.538,"cała ulica Sienkiewicza, Plac Literatów, Plac Artystów, Rynek",,ZADANIE ODRZUCONE,
Bajkowy plac zabaw,50.8682630347,20.6192779541,7473200.690,5637065.364,"nr działek: 625,631/65,631/69 ob. 0016, Przedszkole Samorządowe nr 13 ul. Karczówkowska 8, 25-019 Kielce",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,1203
Event Budzenie Sienkiewki styczeń 2017 ( dokładny termin w ustaleniu w oparciu o termin rozpoczęcia ferii szkolnych w woj. świętokrzyskim),50.8712828155,20.6275177002,7473782.384,5637398.317,"cała ulica Sienkiewicza, Plac Literatów, Plac Artystów, Rynek",,ZADANIE ODRZUCONE,
"Przebudowa ul. Legnickiej na odcinku od ul. Dalekiej do ul. Romualda- poszerzenie wraz z wykonaniem miejsc parkingowych oraz przebudową skrzyżowania z ul. Romualda, wymiana nawierzchni",50.8726166025,20.6458640099,7475074.419,5637540.332,ul. Legnicka od ul. Dalekiej do ul. Romualda wraz ze skrzyżowaniem z ul. Romualda,,ZADANIE ODRZUCONE,
Doposażenie siłowni zewnętrznej przy ul. Dalekiej 11 w dodatkowe urządzenia,50.8720614268,20.6458747387,7475074.879,5637478.572,Siłownia zewnętrzna przy ul. Dalekiej 11,Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,2093
"Modernizacja ul. Wiejskiej- wymiana nawierzchni, utwardzenie pobocza",50.8741873079,20.6467330456,7475136.421,5637714.759,ul. Wiejska (cała),,ZADANIE ODRZUCONE,
Sportowo - rekreacyjny plac do kształtowania sprawności ogólnej,50.8798603631,20.6096220016,7472527.821,5638358.961,"266101_1.0009.1298, Osiedle Czarnów",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,1168
Zespół boisk sportowych wielofunkcyjnych przy ZSP nr 2 w Kielcach,50.8629627110,20.6233468652,7473484.097,5636474.305,"obręb 023, nr działki 9/1, 9/2 Al.Legionów 4, Kielce",Duże (powyżej 150 tys. zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,5113
Boisko sportowe ogólnie dostępne dla dzieci i młodzieży wraz z placem zabaw,50.8590975471,20.6552517414,7475728.147,5636033.390,"Kielce, ul.Prosta, lokalizacja oznaczona w ewidencji gruntów miasta Kielce (obręb 0025) jako część działki nr 312",,ZADANIE ODRZUCONE,
Budowa siłowni przy Zespole Szkół Ekonomicznych im.Oskara Langego w Kielcach,50.8571809300,20.6274747849,7473771.453,5635829.686,"Kielce, ul.Langiewicza 18, działka nr 415, 0024",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,3917
Budowa boisk przy Zespole Szkół Ekonomicznych im.Oskara Langego w Kielcach,50.8572452700,20.6277108192,7473788.107,5635836.760,"Kielce, ul.Langiewicza 18, działka nr 415, 0024",Duże (powyżej 150 tys. zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,3954
"Modernizacja ulicy Konarskiego wraz z zatokami parkingowymi, na odcinku od ulicy Źródłowej do ulicy Zielińskiego, polegająca na poszerzeniu jezdni i chodnika oraz wymianie lamp oświetleniowych",50.8670408481,20.6448501348,7475000.077,5636920.445,"Kielce, ul.Konarskiego, na odcinku od ulicy Źródłowej do ulicy Zielińskiego, obręb nr 0017, działki nr 667/4, 668/21, 666/45, 669/12, 667/1, 667/2, 667/6.",,ZADANIE ODRZUCONE,
Budowa Wodnego Placu Zabaw,50.8795049712,20.6293684244,7473917.239,5638312.269,Dolina Silnicy,,ZADANIE ODRZUCONE,
Budowa wielofunkcyjnego boiska sportowego,50.8634011829,20.6489217281,7475284.762,5636514.211,obręb 0017 działka nr 1413/2 (ul.Szymanowskiego),Duże (powyżej 150 tys. zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,613
Wykonanie nawierzchni asfaltowej na ul.Bobrzańskiej wraz z poboczami dla pieszych (około 200 m),50.8391486830,20.5364888906,7467352.810,5633860.099,"ul.Bobrzańska, Kielce",,ZADANIE ODRZUCONE,
"Modernizacja pomieszczeń gospodarczych w celu zorganizowania siłowni wewnętrznej, ogólnodostępnej, całorocznej wraz z zapleczem i szatnią w ZSO nr 6 w Kielcach",50.8737777110,20.6426936388,7474851.901,5637670.564,"Zespół Szkół Ogólnokształcących nr 6 w Kielcach ul.Leszczyńska 8, 25-321 Kielce",Duże (powyżej 150 tys. zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,3070
Wykonanie ogólnodostępnego placu zabaw przy ZSO nr 6 w Kielcach,50.8738047919,20.6425005198,7474838.323,5637673.643,"Zespół Szkół Ogólnokształcących nr 6 w Kielcach ul.Leszczyńska 8, 25-321 Kielce",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,3057
Modernizacja ogólnodostępnego zaplecza sali gimnastycznej w ZSO nr 6 w Kielcach,50.8737709407,20.6426560879,7474849.254,5637669.824,"Zespół Szkół Ogólnokształcących nr 6 w Kielcach ul.Leszczyńska 8, 25-321 Kielce",,ZADANIE ODRZUCONE,
Położenie nawierzchni asfaltowej na całej długości ulicy Barwinek,50.8492257884,20.6328392029,7474144.749,5634942.894,"cała długość ulicy Barwinek, głównie numer działki 1145/216, częściowo działki o numerach 1145/57, 1145/118, 1145/137, 1145/143, 1145/218, 1145/224",,ZADANIE ODRZUCONE,
Ogrodzenie terenu Przedszkola Samorządowego Nr 32 w Kielcach,50.8846731178,20.6491470337,7475311.863,5638880.359,"Przedszkole Samorządowe nr 32, ul.Kasprowicza 5, 25-411 Kielce, działki nr : 279/1, 279/2, 279/3, 279/4, 279/5, 279/6, 279/7, 279/8, obręb 0011",,ZADANIE ODRZUCONE,
Budowa boiska wielofunkcyjnego o nawierzchni poliuretanowej wraz z oświetleniem przy Szkole Podstawowej nr 2 w Kielcach,50.8705972882,20.6352934241,7474329.310,5637319.330,"teren oraz budynek Szkoły Podstawowej nr 2 przy ul.Kościuszki 5 w Kielcach, działka 424, 426, obręb 0017",Duże (powyżej 150 tys. zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,1493
Wymiana nawierzchni terenów utwardzonych wokół budynku ZSO Nr 8 w Kielcach,50.8507024520,20.5540037155,7468594.212,5635137.703,"teren ZSO nr 8 przy Al.Górników Staszicowskich 22A, 25-804 Kielce, nr obrębu 0020, numery działek: 550/4, 550/7, 550/8",,ZADANIE ODRZUCONE,
Remont i rozbudowa parkingu przy Przychodni Zdrowia na ulicy Pocieszka,50.8805068310,20.6346523762,7474289.641,5638421.860,"Osiedle Sady, strefa śródmiejska miasta Kielce, ulica Pocieszka, obręb 0010, działki ew. nr 861/6,861/10,861/7 i 861/15",Duże (powyżej 150 tys. zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,538
Budowa chodnika przy ul.Chorzowskiej,50.8333215988,20.5403727293,7467622.334,5633210.210,od ul.Stacyjnej do ul.Tarasowej oraz od ul.ks.Żrałka do przystanku kolejowego,,ZADANIE ODRZUCONE,
"Zmieńmy wygląd osiedla Czarnów - pierwszy etap rewitalizacji terenu pomiędzy ulicami Jagiellońską, Grunwaldzką i Piekoszowską do łącznika przy bloku ul.Piekoszowska 53",50.8751080416,20.6048262119,7472187.498,5637832.123,"Teren pomiędzy blokami przy ulicach Jagiellońskiej 60, Grunwaldzkiej 22, 24 i Piekoszowskiej 41,43,45,47,51,53 do łącznika przy bloku ul.Piekoszowskiej 53 nr obrębu 0015, nr działki 107/19",Duże (powyżej 150 tys. zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,2515
"Oświetlenie osiedla w centrum miasta przy ulicy J.Bema pomiędzy ulicą S.Żeromskiego a ul.Wojska Polskiego, obejmującą 11 bloków mieszkalnych, zamieszkałych przez ponad 150 rodzin. Propozycja obejmuje umieszczenie 7 latarni ""parkowych"" na terenie osiedla",50.8611766151,20.6340622902,7474237.463,5636271.834,osiedle przy ul.Bema,Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,515
"""Nasza Mała Ojczyzna - Nasza Szkoła, Nasze Osiedle"" - modernizacja bieżni, placu apelowego i budowa placu zabaw przy Zespole Szkół Ogólnokształcących nr 29 w Kielcach",50.8685846574,20.6068593264,7472326.727,5637105.720,"budynek ZSO nr 29, ul.Zimna 16 Kielce, działka nr 484, obręb ewidencyjny 0015, nr ewidencyjny 266101_1.0015.G508, powierzchnia działki 1.2821 ha",Duże (powyżej 150 tys. zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,452
Cyfrowi mieszkańcy Czarnowa - modernizacja szkolnej pracowni komputerowej,50.8687844010,20.6068271399,7472324.579,5637127.950,"budynek ZSO nr 29, ul.Zimna 16 Kielce, działka nr 484, obręb ewidencyjny 0015, nr ewidencyjny 266101_1.0015.G508, powierzchnia budynku 3459,57 m2",,ZADANIE ODRZUCONE,
"Modernizacja placu zabaw przy Przedszkolu Samorządowym nr 4 w Kielcach ""Więcej ruchu dla maluchów - profilaktyka otyłości wśród dzieci""",50.8663298661,20.6503218412,7475384.869,5636839.520,"Teren ogrodu przy Przedszkolu Samorządowym nr 4, ul.Kujawska 21, Kielce",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,895
Przyjazne wejście do przedszkola 29,50.8817422026,20.6126528978,7472742.213,5638567.168,"obręb 0009, działka nr 1533/1 i 1532/57, ul.Chałubińskiego 32, 25-619 Kielce, Przedszkole Samorządowe nr 29",,ZADANIE ODRZUCONE,
"Placyk ""Kubusia"" dla naszych milusińskich",50.8815492837,20.6124383211,7472727.000,5638545.788,"obręb 0009, działka nr 1533/3, ul.Chałubińskiego 32, 25-619 Kielce, Przedszkole Samorządowe nr 29",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,557
Zielony trójkąt aktywności dla Czarnowa,50.8752299021,20.6043326855,7472152.836,5637845.864,"nr obrębu 0015, nr działki 107/19, zielony teren pomiędzy budynkami przy Grunwaldzkiej, Piekoszowskiej i Jagiellońskiej",,ZADANIE ODRZUCONE,
BUDOWA WIELOFUNKCYJNEGO BOISKA SPORTOWEGO PRZY I LO IM. S. ŻEROMSKIEGO,50.8598662035,20.6275686622,7473779.568,5636128.354,"Teren przy I LO im. S. Żeromskiego w Kielcach, ul. Ściegiennego 15, działka nr 24/12, obręb 0024. Zewnętrzne, betonowe boisko szkolne z częścią bieżni szutrowej (od ulicy Zgody).",Duże (powyżej 150 tys. zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,2579
Boulder Park Kielce -  budowa kompleksu kamieni wspinaczkowych.,50.8632454328,20.6198358536,7473237.088,5636507.021,Identyfikator: 266101_1.0023.2/2 Obręb: 0023 Nr działki: 2/2 Powierzchnia ewidencyjna: 25079m2 Użytki: Bz-25079m2 Adres: przy ulicy Krakowskiej,Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,750
Obserwatorium Astronomiczne i Planetarium w Kielcach,50.8624599023,20.5859622359,7470851.961,5636432.460,"obr. 0021, działka 403/18, ul. Krzemionkowa 1, przy Zespole Szkół Ogólnokształcących nr 15 z Oddziałami Integracyjnymi w Kielcach (lub inna lokalizacja z małym zanieczyszczeniem sztucznym światłem)",Duże (powyżej 150 tys. zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,3852
"Modernizacja: 1. placu zabaw; 2. istniejącego chodnika; 3; wejscie od strony Romualda; na terenie  Przedszkola Samorządowego nr 33 w Kielcach, ul. Romualda 6",50.8730702169,20.6451344490,7475023.312,5637591.037,Teren Przedszkola Samorzadowego nr 33 przy ulicy Romualda 6 w Kielcach- działka 166/8; 166/10; 166/12;,Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,2077
Plac zabaw przy ul. Krakowskiej 360,50.8352722285,20.5372814834,7467405.936,5633428.548,ul. Krakowska 360,Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,506
Budowa parkingu przy Przedszkolu Samorządowym nr 3 w Kielcach będącego jednocześnie drogą pożarową oraz dojazdem do placówki.,50.8483130109,20.6280943751,7473810.111,5634843.031,"obręb 024, działka nr 1140/2 , Kielce Barwinek 33",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,247
Plac Sportów Miejskich,50.8627155398,20.6147369743,7472877.830,5636449.937,obręb 0023; działka 1/13; skrzyżowanie ulic krakowska oraz pakosz. obok skateparku.,Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,692
Przebudowa ulicy Biskupa Czesława Kaczmarka wraz z przeorganizowaniem miejsc postojowych z równoległych na prostopadłe lub skośne - od strony skweru Szarych Szeregów,50.8649654273,20.6190687418,7473184.072,5636698.625,"Osiedle Chęcińska, strefa śródmiejska miasta Kielce, ulica Chęcińska, obręb 0016, część działki ew. nr 676 i 690/2",Duże (powyżej 150 tys. zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,944
Street Workout Park,50.8692211253,20.6220835447,7473398.723,5637170.925,nr obrębu: 0016; nr działki: 519/4;  adres: ul. Ignacego Paderewskiego (przy rondzie Giedroycia),Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,798
Modernizacja przedszkolnego  placu zabaw- Teren Przedszkola Samorządowego nr 9 w Kielcach- Osiedle Uroczysko,50.8957605299,20.6439515948,7474952.229,5640115.441,"Teren Przedszkola Samorządowego nr 9 w Kielcach- Osiedle Uroczysko. Obręb 0006 nr działek 971/1 i 971/2, ul Orkana 32",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,217
Poprawa bezpieczeństwa dzieci i młodzieży - budowa miejsc parkingowych na terenie ZSO nr 11 - ul. Łanowa 68 –  dzielnica Dyminy.,50.8228005144,20.6251305342,7473586.999,5632006.176,"Nr obrębu: 0030 Nr działki:91/3 Adres: Kielce, ul. Łanowa 68   Działka należy do zasobów gminy Kielce we władaniu innych podmiotów.  Lokalizacja parkingu: plac po prawej stronie od istniejącego wjazdu na teren szkoły przy ul. Kalinowej",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,427
"""Rewolucje na kółkach"" czyli budowa toru na Osiedlu Słoneczne Wzgórze do jazdy na rowerze, rolkach, hulajnodze, deskorolkach.",50.8887967319,20.6538677216,7475646.189,5639337.490,"Działka 275/133, 275/134, obręb 0011, pomiędzy ul. Krzyżanowskiej 2 a Ćwiklińska 5 a",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,1876
"""Obudź w sobie zdrowego ducha"" - budowa siłowni zewnętrznej na Osiedlu Słoneczne Wzgórze w sąsiedztwie Parku Dygasińskiego",50.8866765935,20.6488198042,7475289.897,5639103.329,Działka 275/139 w okolicach bloku przy ul. Zapolskiej 27 a 29 od strony Parku im. Dygasińskiego,Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,1972
"Budowa placu o funkcji rekreacyjno - wypoczynkowej przy ulicy Szkolnej wyposażonego w urządzenia do ćwiczeń, ławki, stoliki do gier planszowych oraz zieleń",50.8705312740,20.6067681313,7472321.460,5637322.289,"Osiedle Jagiellońskie, strefa śródmiejska miasta Kielce, ul.Szkolna, obręb 0015, działki ew. nr  319/185, 319/73, 319/160",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,822
Budowa placu o funkcji wypoczynkowo-rekreacyjno-sportowej przy ulicy Chęcińskiej wyposażonego w boisko o nawierzchni sztucznej do gry w piłkę koszykową i siatkową,50.8664500566,20.6190392375,7473182.847,5636863.781,"Osiedle Chęcińska, strefa śródmiejska miasta Kielce, ulica Chęcińska obręb 0016, część działki ew. nr 698/63",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,1565
Budowa monitoringu miejskiego na Osiedlu Podkarczówka,50.8577430555,20.5760997534,7470154.640,5635911.713,"Osiedle Podkarczówka, strefa podmiejska miasta Kielce, ul.Podklasztorna obręb 0021, działka ew. nr 579",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,5424
Remont ulicy Przemysłowej na odcinku od ul.Skrzetlewskiej do ul.Sowiej,50.8910555122,20.6122398376,7472718.586,5639603.306,"Osiedle Herby, strefa podmiejska miasta Kielce, ul.Przemysłowa, obręb 0009, działki ew. nr 270/1, 270/2, 236/4, 236/5, 236/6, 191/1 i 191/2",,ZADANIE ODRZUCONE,
"Budowa placu o funkcji rekreacyjno - wypoczynkowej przy ul.Szczygla wyposażonego w urządzenia do ćwiczeń, ławki, stoliki do gier planszowych oraz zieleń",50.8888288801,20.6147289276,7472892.416,5639354.705,"Osiedle Herby, strefa podmiejska miasta Kielce, ulica Sczygla obręb 0009, działki ew. nr 294/17, 294/18 i 295/4",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,718
Osiedlowe miejsce sportu dla dzieci i młodzieży,50.8620705181,20.6211233139,7473327.053,5636375.861,"budynek ZSO nr 10 Gagarina 3 Kielce działka nr 8, obręb ewidencyjny 0023, nr ewidencyjny 266101_1.0023.8",Duże (powyżej 150 tys. zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,4609
Biblioteka przyszłości,50.8777855131,20.6392872334,7474614.328,5638117.545,"Zespół Szkół Ponadpodstawowych Nr 2 w Kielcach, ul. Radiowa 1",,ZADANIE ODRZUCONE,
"PRZEJŚCIE ŁĄCZĄCE UL.MAZURSKĄ Z UL.KONARSKIEGO PRZEZ TEREN SZKOŁY, OTWARTE STALE LUB W GODZ.6-22",50.8680937587,20.6476879120,7475200.393,5637036.611,SKOMUNIKOWANIE ULIC MAZURSKIEJ Z KONARSKIEGO W  CENTRUM OSIEDLA KSM PÓŁNOC PRZY HALI SPOROTOWEJ W BLISKOŚCI BASENU MOSiR I MOPR W OBR. 0017 NA DZIAŁCE NR EW. 711(DROGA) PRZEZ DZ.723/1(SZKOŁA) DO DZ.762/1(DR),,ZADANIE ODRZUCONE,
Kompleks sportowo - rekreacyjny osiedla Ślichowice,50.8873872652,20.5792057514,7470392.109,5639207.986,dz. nr 256 -  teren Szkoły Podstawowej nr  25 przy ul.Jurajskiej 7,Duże (powyżej 150 tys. zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,3773
"Plac ""Park Pokoleń"" przy ul. Grochowej",50.8761370754,20.6129693985,7472761.217,5637943.555,"Dz. nr 1726/10 - teren zielony pomiędzy blokami Grochowa 23, a Grochowa 25",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,3608
Strefa Aktywna osiedla Barwinek (obok Klubu Seniora),50.8482537390,20.6297761202,7473928.507,5634835.843,"dz.nr 1145/174 - utwardzona, asfaltowa powierzchnia placów obok budynku Barwinek 3A (w centrum osiedla)",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,3393
Parking samochodowy przy ul.Miłej na ok. 30 miejsc postojowych,50.8828590858,20.6146591902,7472884.044,5638690.668,"obręb nr 0009, działka nr 1461/22, skrzyżowanie ulic Jagiellońskiej i Miłej",,ZADANIE ODRZUCONE,
Modernizacja/budowa kompleksu boisk wielofunkcyjnych na terenie Szkoły Podstawowej nr 28 w Kielcach,50.8636855949,20.6490504742,7475293.975,5636545.805,"nr obrębu 0017, nr działki 1411/2; Adres: 25-361 Kielce ul.Szymanowskiego 5; lokalizacja (teren obecnych boisk przy szkole)",Duże (powyżej 150 tys. zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,4204
"Budowa placu zabaw przy Szkole Podstawowej nr 34 im.Adama Mickiewicza, ul.Naruszewicza 25, 25-628 Kielce",50.8798231317,20.5950200558,7471500.215,5638360.353,"teren przy SP nr 34 w Kielcach, działka nr ewid.505, obręb 0009",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,4776
PARK ZABAW DLA PSÓW,50.8879456424,20.6342661381,7474266.559,5639249.466,obręb 0006 dz.915/11 zalew kielecki skrzyzowanie ul. Klonowej i Jesionowej,Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,4287
"""ORLIK POD DACHEM""  - budowa zadaszenia pneumatycznego na boisku wielofunkcyjnym ORLIK 2012 przy Szkole Podstawowej nr 27",50.8909336932,20.6433320045,7474906.048,5639578.728,"boisko ORLIK 2012 przy Szkole Podstawowej nr 27 im. K.K.Baczyńskiego, 25-549 Kielce, ul.Toporowskiego 96, nr obrębu - 0006; nr działki - 967/10 i 967/11 o wymiarach 66,00m x 32,10m =2.118,60m2",Duże (powyżej 150 tys. zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,7873
Modernizacja placu zabaw przy Przedszkolu Samorządowym nr 22 w Kielcach,50.8786384806,20.6101101637,7472561.457,5638222.861,"plac zabaw przy Przedszkolu Samorządowym nr 22 w Kielcach ul.Bolesława Chrobrego 110, nr działki 1175",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,1993
Rewitalizacja chodników i części jezdni,50.8744784242,20.6171107292,7473051.722,5637757.532,"chodnik na ul. Mielczarskiego od ul. Piekoszowskiej do ""Społem"" oraz chodnik i około 40 m jezdni od ul. Mielczarskiego do bloku 8/10 ul. Owsianej",,ZADANIE ODRZUCONE,
Budowa boiska wielofunkcyjnego zewnętrznego z ogrodzeniem przy Szkole Podstawowej nr 34 w Kielcach,50.8801514440,20.5955135822,7471535.146,5638396.683,"obręb ewidencyjny 0009, nr działki 505, Teren Szkoły Podstawowej nr 34 w Kielcach, ul. Naruszewicza 25, Kielce",Duże (powyżej 150 tys. zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,5165
